miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
let-7a	MIMAT0000062	Trypaflavine	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	293T(FLAG AGO2) cells	20529860	2010	Identification of small molecules that suppress microRNA function and reverse tumorigenesis.	We selected six cellular miRNAs, miR-16, -17, -21, -30a, -196a, and let-7a, and asked how PLL or TPF treatment would affect their expression(Fig. 4).	down-regulated	
let-7a	MIMAT0000062	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
let-7a	MIMAT0000062	Enoxacin	approved	DB00467	3229	Northern blot 	Homo sapiens 	HCT-116 and RKO colon cancer cell lines 	21368194	2011	Small molecule enoxacin is a cancer-specific growth inhibitor that acts by enhancing TAR RNA-binding protein 2-mediated microRNA processing.	Northern blot analyses of the tumor-suppressor miRNAs let7-a and miR-125a confirmed the enhancement of miRNA production in enoxacin-treated cells (Fig. S2). 	up-regulated	
let-7a	MIMAT0000062	Enoxacin	approved	DB00467	3229	Quantitative real-time PCR	Homo sapiens 	HCT-116 and RKO colon cancer cell lines 	21368194	2011	Small molecule enoxacin is a cancer-specific growth inhibitor that acts by enhancing TAR RNA-binding protein 2-mediated microRNA processing.	We observed that HCT-116 and RKO enoxacin-treated cells featured an overall increase in the production of 24 mature miRNAs molecules (Fig. 2A) and a down-regulation of the corresponding precursor miRNA molecules (Fig. S2). 	up-regulated	
let-7a	MIMAT0000062	Metformin	approved	DB00331	4091	Quantitative real-time PCR	Homo sapiens 	MCF-7 human mammary  cancer  cell  line	21368581	2011	Micro(mi)RNA expression profile of breast cancer epithelial cells treated with the anti-diabetic drug metformin: induction of the tumor suppressor miRNA let-7a and suppression of the TGF?-induced oncomiR miRNA-181a.	Metformin-treated MCF-7 cells notably exhibited up to 18-fold increases in miRNA lethal-7a (let-7a) expression compared with untreated control cells.	up-regulated	
let-7a	MIMAT0000062	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	MCF-7 breast cancer cells	21506117	2011	5-Fluorouracil drug alters the microRNA expression profiles in MCF-7 breast cancer cells.	miRNA microarray analysis of 5-FU treated MCF-7 cells identified a set of 42 miRNAs which were significantly dysregulated between 5-FU treated and control samples (Table 1).	up-regulated	
let-7a	MIMAT0000062	Arsenic trioxide	approved	DB01169	14888	Quantitative real-time PCR	Homo sapiens 	acute promyelocytic leukemia	22072212	2012	Alteration in miRNA gene expression pattern in acute promyelocytic leukemia cell induced by arsenic trioxide: a possible mechanism to explain arsenic multi-target action.	Figure 4 shows the list of the 88 cancer-related miRNAs used  in  this  experiment  and  their  fold  changes  in  the expression  level  after  ATO  exposure.   	up-regulated	
let-7a	MIMAT0000062	Metformin	approved	DB00331	4091	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22086681	2012	Metformin inhibits cell proliferation, migration and invasion by attenuating CSC function mediated by deregulating miRNAs in pancreatic cancer cells.	Metformin also decreased the expression of CSC markers,CD44, EpCAM,EZH2, Notch-1, Nanog and Oct4, and caused reexpression of miRNAs (let-7a,let-7b, miR-26a, miR-101, miR-200b, and miR-200c) that are typically lost in pancreatic cancer and especially in pancreatospheres. 	up-regulated	
let-7a	MIMAT0000062	Metformin	approved	DB00331	4091	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22086681	2012	Metformin inhibits cell proliferation, migration and invasion by attenuating CSC function mediated by deregulating miRNAs in pancreatic cancer cells.	Metformin also decreased the expression of CSC markers,CD44, EpCAM,EZH2, Notch-1, Nanog and Oct4, and caused reexpression of miRNAs (let-7a,let-7b, miR-26a, miR-101, miR-200b, and miR-200c) that are typically lost in pancreatic cancer and especially in pancreatospheres.	up-regulated	
let-7a	MIMAT0000062	CDF(analogues of curcumin)	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22108826	2012	Curcumin analogue CDF inhibits pancreatic tumor growth by switching on suppressor microRNAs and attenuating EZH2 expression.	These effects were associated with decreased expression of EZH2 and increased expression of a panel of tumor-suppressive microRNAs (miRNA), including let-7a, b, c, d, miR-26a, miR-101, miR-146a, andmiR-200b, c that are typically lost in pancreatic cancer	up-regulated	
let-7a	MIMAT0000062	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	down-regulated	
let-7a	MIMAT0000062	Curcumin	NULL	NULL	969516	Quantitative real-time PCR	Homo sapiens 	esophageal cancer cells	22363450	2012	Curcumin induces cell death in esophageal cancer cells through modulating Notch signaling.	Finally, curcumin treatment down-regulate the expressions of Notch-1 specific microRNAs miR-21 and miR-34a, and upregulated tumor suppressor let-7a miRNA.	up-regulated	
let-7a	MIMAT0000062	1,2,6-Tri-O-galloyl-beta-D-glucopyranose 	NULL	NULL	NULL	Microarray	Homo sapiens 	HepG2 hepatocarcinoma cells.	22506400	2011	[A new natural polyphenol BJA32531 inhibited the proliferation and regulated miRNA expression in human HepG2 hepatocarcinoma cells].	Cellular exposure to BJA32531 influenced the miRNA expression pattern in the cells, including 19 upregulated and 85 down-regulated miRNAs in the cells. The up-regulations of let-7a and miR-10b as well as the down-regulations of miR-132 and miR-125b were verified to be consistent with the the results of the miRNA array.	up-regulated	
let-7a	MIMAT0000062	Vitamin D3	approved	DB00169	5280795	Quantitative real-time PCR	Homo sapiens 	Plasma	22594500	2012	Plasma profile of microRNA after supplementation with high doses of vitamin D3 for 12 months	In the first pilot 136 miRNAs were detected by RT-qPCR in one or more of the samples,and 11 miRNAs showed a significant difference in mean expression value between baseline and 12 months (P<0.05, student’s t-test) (Table 2). In the second pilot 113 miRNAs were detected in one or more of the samples. Eighteen of these miRNAs showed a significant difference in mean expression value between baseline and after 12 months (P<0.05) (Table 3).	up-regulated	
let-7a	MIMAT0000521	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse liver 	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	RDX exposure significantly affected the expression of 56 miRNAs in mouse liver (Table 2, Figures 3,4B).	down-regulated	
let-7a	MIMAT0000521	Budesonide	approved	DB01222	5281004	Microarray	Mus musculus 	neonatal mice liver 	20145010	2010	Modulation of microRNA expression by budesonide, phenethyl isothiocyanate and cigarette smoke in mouse liver and lung.	In particular, as shown in Table I and inferred from Venn diagrams and volcano-plot analyses (data not shown), several miRNAs were altered in their expression.(ECS since birth and treated with budesonide after weaning)	up-regulated	
let-7a	MIMAT0000521	Budesonide	approved	DB01222	5281004	Microarray	Mus musculus 	neonatal mice lung	20145010	2010	Modulation of microRNA expression by budesonide, phenethyl isothiocyanate and cigarette smoke in mouse liver and lung.	In particular, as shown in Table I and inferred from Venn diagrams and volcano-plot analyses (data not shown), several miRNAs were altered in their expression.(budesonide (BUD)after weaning (BUD/sham))	down-regulated	
let-7a	MIMAT0000521	Phenethyl isothiocyanate(PEITC)	NULL	NULL	16741	Microarray	Mus musculus 	neonatal mice lung	20145010	2010	Modulation of microRNA expression by budesonide, phenethyl isothiocyanate and cigarette smoke in mouse liver and lung.	In particular, as shown in Table I and inferred from Venn diagrams and volcano-plot analyses (data not shown), several miRNAs were altered in their expression.	up-regulated	
let-7a	MIMAT0000774	Dexamethasone	approved	DB01234	5743	Microarray	Rattus norvegicus 	primary rat thymocytes	20847043	2010	Glucocorticoids modulate microRNA expression and processing during lymphocyte apoptosis.	Of the 350 microRNAs represented on our chip, 56 were differentially expressed in response to glucocorticoid-induced apoptosis (Fig. 2A). Surprisingly, the majority of these microRNAs (79% or 44 microRNAs) were repressed, and only 12 low abundance microRNAs were weakly induced during this time frame. 	down-regulated	
let-7a	MIMAT0000774	Dexamethasone	approved	DB01234	5743	Quantitative real-time PCR	Rattus norvegicus 	primary rat thymocytes	20847043	2010	Glucocorticoids modulate microRNA expression and processing during lymphocyte apoptosis.	The repression of a subset of microRNAs identified as differentially expressed (rno-let-7a, rno-miR-15b, and rno-miR-25) as well as the repression of a microRNA not significantly regulated in the microarray (rno-miR-17) was validated via quantitative PCR analysis	down-regulated	
let-7a	MIMAT0001759	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).	up-regulated	
let-7a 	MIMAT0000062	Hydroxychloroquine 	approved	DB01611	3652	Quantitative real-time PCR	Homo sapiens	mesangial cells 	24121037	2013	Cellular and urinary microRNA alterations in NZB/W mice with hydroxychloroquine or prednisone treatment	At 32 and 36 weeks-of-age, there was a significant decrease in urinary miR-let-7a expression in HCQ-treated mice compared to the control mice (Figure 2A). 	down-regualted	
let-7a 	MIMAT0000062	Prednisone 	approved	DB00635	5865	Quantitative real-time PCR	Homo sapiens	mesangial cells	24121037	2013	Cellular and urinary microRNA alterations in NZB/W mice with hydroxychloroquine or prednisone treatment	At 32 and 36 weeks-of-age, there was a significant decrease in urinary miR-let-7a expression in HCQ-treated mice compared to the control mice (Figure 2A). 	down-regualted	
let-7a*	MIMAT0004481	Emodin	NULL	NULL	3220	Microarray	Homo sapiens	K562 cells	23744534	2013	Emodin can induce K562 cells to erythroid differentiation and improve the expression of globin genes	The mRNA and microRNA (miRNA) expression profiles are further analyzed and 417 mRNAs and 35 miRNAs with differential expression between untreated and emodin-treated K562 cells were identified. 	down-regualted	
let-7a*	MIMAT0004620	Tert-butyl hydroperoxide (t-BHP)	NULL	NULL	6410	Microarray	Mus musculus 	mouse auditory cells	20510889	2010	Profiles of oxidative stress-related microRNA and mRNA expression in auditory cells.	In comparison with that in unmanipulated control cells,treatment with t-BHP(50, 100, and 200 um)significantly increased the transcription levels of 35 miRNAs, but decreased the  expression  of  40  miRNAs.Treatment  with  50, 100, or 200 um of t-BHP up-regulated the relative levels of 21, 19, and 21 miRNAs, but down-regulated the transcription levels of 30,17, and 33 miRNAs, respectively (Table 1). 	down-regulated	
let-7a-1	MIMAT0000062	Gemcitabine	approved	DB00441	60750	Northern blot	Homo sapiens 	Mz-ChA-1 human cholangiocarcinoma cell lines  	16762633	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.	Gemcitabine  treatment  resulted  in  a  greater  than 2-fold increase in the expression of a group of miRNA that included miR-202, miR-320, miR-374, miR-1-2,miR-16-1,  miR-24-1, let7f-2,  let7a-1,  and  miR-374(Table 3). 	up-regulated	
let-7a-3	MIMAT0000062	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Microarray	Homo sapiens 	acute promyelocytic leukemia	17260024	2008	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.	We found upregulation of miR-15a, miR-15b, miR-16-1, let-7a-3, let-7c, let-7d, miR-223, miR-342 and miR-107, whereas miR-181b was downregulated. 	up-regulated	
let-7b	MIMAT0000063	Gemcitabine	approved	DB00441	60750	Northern blot	Homo sapiens 	Mz-ChA-1 human cholangiocarcinoma cell lines  	16762633	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.	Gemcitabine  treatment  resulted  in  a  greater  than 2-fold increase in the expression of a group of miRNA that included miR-202, miR-320, miR-374, miR-1-2,miR-16-1,  miR-24-1, let7f-2,  let7a-1,  and  miR-374(Table 3). 	down-regulated	
let-7b	MIMAT0000063	Medpor	NULL	NULL	NULL	Microarray	Homo sapiens 	osteoblast-like cells line (MG-63) 	18408260	2008	Medpor regulates osteoblast's microRNAs.	We identified 16 up-regulated miRNA (i.e. mir-337, mir-515-3p, mir-377, mir-153, mir-367, mir-152, let-7b, mir-92, mir-155, mir-424, mir-148b, mir-368, mir-18b, mir-520d, mir-20b, mir-128a) and 2 down-regulated miRNA (i.e. mir-143, mir-32). 	up-regulated	
let-7b	MIMAT0000063	Enoxacin	approved	DB00467	3229	Quantitative real-time PCR	Homo sapiens 	HEK293 cells	18641635	2008	A small molecule enhances RNA interference and promotes microRNA processing.	Most of the miRNAs altered by enoxacin (13/15) had approximately twofold increases in expression of the mature form, whereas only two of the miRNAs had decreased levels of the mature forms (Fig. 4c). 	up-regulated	
let-7b	MIMAT0000063	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Homo sapiens 	MCF-7 breast cancer cells	19528081	2009	Estradiol-regulated microRNAs control estradiol response in breast cancer cells.	To investigate this possibility, we determined microRNA-expression patterns in MCF-7p and MCF-7AKT cells with and without E2 treatment for 4 h. We observed 21 E2-inducible and 7 E2-repressible microRNAs in MCF-7p cells (statistical cutoff P-value <0.05 and fold change >1.5 or <0.7) (Table 1).	up-regulated	
let-7b	MIMAT0000063	Etoposide	approved	DB00773	36462	Microarray	Homo sapiens 	Normal human fibroblasts (AG01522)	19633716	2009	Ionizing radiation-induced oxidative stress alters miRNA expression.	A more extensive analysis also determined that all 17 miRNA species altered by radiation were also altered by either H2O2 or etoposide (Table 1). Several species were altered only by etoposide or H2O2 (Fig. 2).	down-regulated	
let-7b	MIMAT0000063	Etoposide	approved	DB00773	36462	Quantitative real-time PCR	Homo sapiens 	Normal human fibroblasts (AG01522)	19633716	2009	Ionizing radiation-induced oxidative stress alters miRNA expression.	A more extensive analysis also determined that all 17 miRNA species altered by radiation were also altered by either H2O2 or etoposide (Table 1). Several species were altered only by etoposide or H2O2 (Fig. 2).	down-regulated	
let-7b	MIMAT0000063	Activin A	NULL	NULL	229455	Quantitative real-time PCR	Homo sapiens 	Human embryonic stem (hES) cells	19885849	2010	Identification of microRNAs regulated by activin A in human embryonic stem cells.	In T3BA cells, four hES cell-specific microRNAs miR-372, miR-302d, miR-367, and miR-200c, as well as three other microRNAs miR-199a, miR-19a, and miR-217, were found to be up-regulated, whereas five miRNAs miR-19b, miR-221, miR-222, let-7b, and let-7c were down-regulated by activin A.	down-regulated	
let-7b	MIMAT0000063	Oxaliplatin (L-OHP)	approved	DB00526	5310940	Microarray	Homo sapiens 	HCT-116 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	There were 17 and 3 miRNAs significantly (p<0.01)down-regulated  in  HCT-8  cells following  exposure  to  5-FU and  L-OHP  for  24  h,  respectively,  and  the  corresponding numbers  of  down-regulated  miRNAs  were  15  for  both  in HCT-116 cells (Table III).	down-regulated	
let-7b	MIMAT0000063	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
let-7b	MIMAT0000063	Enoxacin	approved	DB00467	3229	Quantitative real-time PCR	Homo sapiens 	HCT-116 and RKO colon cancer cell lines 	21368194	2011	Small molecule enoxacin is a cancer-specific growth inhibitor that acts by enhancing TAR RNA-binding protein 2-mediated microRNA processing.	We observed that HCT-116 and RKO enoxacin-treated cells featured an overall increase in the production of 24 mature miRNAs molecules (Fig. 2A) and a down-regulation of the corresponding precursor miRNA molecules (Fig. S2). 	up-regulated	
let-7b	MIMAT0000063	Metformin	approved	DB00331	4091	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22086681	2012	Metformin inhibits cell proliferation, migration and invasion by attenuating CSC function mediated by deregulating miRNAs in pancreatic cancer cells.	Metformin also decreased the expression of CSC markers,CD44, EpCAM,EZH2, Notch-1, Nanog and Oct4, and caused reexpression of miRNAs (let-7a,let-7b, miR-26a, miR-101, miR-200b, and miR-200c) that are typically lost in pancreatic cancer and especially in pancreatospheres. 	up-regulated	
let-7b	MIMAT0000063	Metformin	approved	DB00331	4091	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22086681	2012	Metformin inhibits cell proliferation, migration and invasion by attenuating CSC function mediated by deregulating miRNAs in pancreatic cancer cells.	Metformin also decreased the expression of CSC markers,CD44, EpCAM,EZH2, Notch-1, Nanog and Oct4, and caused reexpression of miRNAs (let-7a,let-7b, miR-26a, miR-101, miR-200b, and miR-200c) that are typically lost in pancreatic cancer and especially in pancreatospheres.	up-regulated	
let-7b	MIMAT0000063	CDF(analogues of curcumin)	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22108826	2012	Curcumin analogue CDF inhibits pancreatic tumor growth by switching on suppressor microRNAs and attenuating EZH3 expression.	These effects were associated with decreased expression of EZH2 and increased expression of a panel of tumor-suppressive microRNAs (miRNA), including let-7a, b, c, d, miR-26a, miR-101, miR-146a, andmiR-201b, c that are typically lost in pancreatic cancer	up-regulated	
let-7b	MIMAT0000522	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse liver 	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	RDX exposure significantly affected the expression of 56 miRNAs in mouse liver (Table 2, Figures 3,4B).	down-regulated	
let-7b	MIMAT0000522	N-ethyl-N-nitrosourea	NULL	NULL	12967	Quantitative real-time PCR	Mus musculus 	mouse liver	21029445	2010	Genomic analysis of microRNA time-course expression in liver of mice treated with genotoxic carcinogen N-ethyl-N-nitrosourea.	There were 43 miRNAs whose expression was dysregulated by ENU treatment at least at one posttreatment time.The names of those differentially expressed miRNAs (DEMs), their fold changes against the controls and the posttreatment time points when their expression was altered, as well as their possible functions reported in the literature are listed in Table 1	up-regulated	
let-7b	MIMAT0000775	Lithium (Li)	approved	DB01356	3028194	Microarray	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7b	MIMAT0000775	Lithium (Li)	approved	DB01356	3028194	Quantitative real-time PCR	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7b	MIMAT0000775	Valproate	approved	DB00313	3121	Microarray	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7b	MIMAT0000775	Valproate	approved	DB00313	3121	Quantitative real-time PCR	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7b 	MIMAT0000063	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	down-regulated	
let-7b 	MIMAT0000063	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	CNE cells	22614822	2012	5-Fluorouracil in combination with cisplatin alters the microRNA expression profile in the CNE nasopharyngeal carcinoma cell line.	we show that 5-FU in combination with cisplatin significantly alters the global expression profile of miRNAs in CNE cells	up-regulated	
let-7b 	MIMAT0000775	Isoproterenol	approved	DB01064	3779	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	"Compared to the control group, 5 miRNAs were upregulated by >1.3-fold, and 28 downregulated by <30% in the PRO group; 43 miRNAs were upregulated by>1.3-fold and 9 were decreased by <30% in the ISO group (Table 2)."	down-regulated	
let-7b*	MIMAT0004482	Vorinostat (SAHA)	approved	DB02546	5311	Microarray	Homo sapiens 	A549 human non-small cell lung cancer cells	19513533	2009	Suberoylanilide hydroxamic acid (SAHA) changes microRNA expression profiles in A549 human non-small cell lung cancer cells.	To  further  confirm  that  miRNA  expression  patterns  are affected by the SAHA dose, we analyzed 227 flagged miRNAs and removed those that did not demonstrate a 2-fold change in  expression  levels  by  comparing  the  control,  2.5  uM  and 5.0  uM  treated  cells.  A total  of  64  miRNAs  were  selected for  further  study  (Table  I)  and  their  expression  profiles  are shown  in  Fig.  2A. 	up-regulated	
let-7b*	MIMAT0004621	Anthocyanin	NULL	NULL	145858	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
let-7b*	MIMAT0004621	Caffeic acid	NULL	NULL	689043	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
let-7b*	MIMAT0004621	Ferulic acid	NULL	NULL	445858	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
